1 18 32
w20    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w19    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14    w14
w21    w2     w2     w0     w0     w0     w0     w2     w2     w0     w0     w0     w2     w21    w0     w0     w0     w2     w0     w0     w2     w0     w0     w2     w2     w0     w3     w2     w2     w0     w0     w21
w21    p0-f7  f7     f7     f7     f7     f7     f7     f7     f7     f7     f7     f7     w21    o3-f7  o3-f7  o3-f7  o1-f7  o1-f7  o1-f7  f7     f7     e1-f7  f7     f7     f7     f7     e1-f7  o3-f7  o0-f7  o0-f7  w21
w21    f7     f7     f7     f7     f7     f7     o1-f7  o3-f7  f7     f7     f7     f7     w17    f7     f7     f7     f7     f7     f7     f7     f7     f7     e0-f7  f7     f7     f7     f7     o3-f7  o0-f7  o0-f7  w21
w21    f7     f7     f7     f7     f7     f7     w4     w4     f7     f7     e0-f7  f7     w2     f7     f7     e0-f7  f7     f7     f7     f7     f7     f7     f7     f7     f7     f7     f7     f7     o0-f7  o0-f7  w21
w17    o1-f7  o0-f7  f7     f7     f7     f7     w25    w25    f7     f7     f7     f7     f7     f7     f7     o0-f7  o0-f7  o0-f7  f7     f7     f7     f7     o1-f7  w20    w13    w13    w13    w13    w13    w13    w19
w2     o0-f7  o0-f7  o3-f7  o3-f7  o1-f7  o1-f7  w25    w26    o1-f7  o3-f7  o3-f7  f7     o1-f7  f7     f7     o0-f7  o0-f7  o0-f7  f7     f7     o3-f7  o3-f7  o1-f7  w21     w0     w0     w0     w0     w0     w0     w06
w1     w1     w1     w1     w1     w1     w1     w25    w25    w1     w1     w1     w1     w1     w1     w1     w1     w1     w1     w1     w1     w1     w1     f7     w17    w10    w11    w11    w11    w10    w10    w10
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    o1-f7  w2     w25    w25    w26    w25    w25    w25    w25
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w19    w14    w14    w14    w19    f7     e1-f7  w20    w19    w25    w25    w25    w25    w25
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    w2     w2     w2     w2     f7     o1-f7  w2     w21    w25    w25    w25    w25    w25
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    f7     f7     f7     f7     f7     f7     f7     w21    w25    w25    w25    w25    w25
w25    w25    w25    w25    w25    w25    w25    w25    w26    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    e1-f7  f7     f7     f7     f7     f7     f7     w21    w25    w25    w25    w25    w25
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    f7     f7     f7     f7     f7     e1-f7  f7     w16    w14    w14    w14    w14    w19
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    f7     o1-f7  o1-f7  f7     f7     f7     f7     w2     w2     w2     w2     w2     w21
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w21    f7     o1-f7  o1-f7  o3-f7  o3-f7  o3-f7  f7     f7     f7     f7     f7     f7     w21
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w16    w14    w14    w14    w14    w14    w14    w14    w19    w13    w13    w13    w13    w19
w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w25    w0     w0     w0     w0     w0     w0     w0     w0     w0     w11    w11    w11    w11    w11 
