3 17 31
w19 w1  w0  w1  w0  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w2  w1  w16
w6  f15  f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3 
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  p0  f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w8  f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w13 f15 w5
w7  f15 f15 f15 o14 f15 o14 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 f15 w3
w18 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w10 w11 w17
